"","sex","pitch"
"1","female",192.943846351771
"2","female",212.620858338517
"3","female",319.191018200623
"4","female",230.533763864158
"5","female",234.035454159791
"6","female",328.505729947427
"7","female",253.791717572039
"8","female",150.96922807093
"9","female",185.415115927054
"10","female",199.783697072833
"11","female",299.256150749924
"12","female",247.768696614901
"13","female",250.208684946752
"14","female",232.927088344577
"15","female",193.219940366384
"16","female",332.785974559577
"17","female",255.992020849654
"18","female",109.17509755103
"19","female",268.115547937588
"20","female",198.16750195344
"21","female",162.719354833145
"22","female",213.347808235032
"23","female",165.210673712852
"24","female",182.910743322325
"25","female",189.097566489226
"26","female",125.851136314847
"27","female",276.243226452777
"28","female",235.470304320077
"29","female",158.530550687262
"30","female",301.027456515818
"31","female",251.739292822736
"32","female",208.754897052279
"33","female",279.659087610404
"34","female",278.646804632978
"35","female",275.277780783251
"36","female",267.358032516428
"37","female",259.332137822742
"38","female",222.645037031747
"39","female",208.106071469893
"40","female",203.66735022896
"41","female",184.947218216008
"42","female",213.946976690751
"43","female",150.949263985961
"44","female",355.5455969058
"45","female",298.295838153549
"46","female",159.425842082942
"47","female",202.332080029932
"48","female",198.533048074681
"49","female",272.798572857951
"50","female",221.366747582909
"51","male",139.475077040295
"52","male",126.706860340719
"53","male",126.058010871717
"54","male",189.996323912255
"55","male",117.772798627908
"56","male",196.694611936388
"57","male",57.8430364814032
"58","male",154.482422110011
"59","male",133.610474210795
"60","male",137.781938550258
"61","male",145.197291439574
"62","male",105.245246576428
"63","male",112.906036524117
"64","male",81.859546986194
"65","male",79.4489221456017
"66","male",141.749545933789
"67","male",148.303457725529
"68","male",130.401038817109
"69","male",169.77780012517
"70","male",220.866799728614
"71","male",105.756775962291
"72","male",23.3969438349893
"73","male",173.558956069181
"74","male",95.873909966811
"75","male",96.8338931337905
"76","male",174.457364256584
"77","male",115.100065670784
"78","male",72.7027002816547
"79","male",136.212867527867
"80","male",121.708359254576
"81","male",128.26111189519
"82","male",145.452819437951
"83","male",111.209468769171
"84","male",157.18961753173
"85","male",118.012177778398
"86","male",143.029393377035
"87","male",177.68571770854
"88","male",147.713289230537
"89","male",113.235622952084
"90","male",180.039843903701
"91","male",173.004737739902
"92","male",152.841837494551
"93","male",138.814310447218
"94","male",99.5564785100133
"95","male",189.636204262084
"96","male",100.808836993131
"97","male",227.084011712482
"98","male",197.425738888609
"99","male",117.323007874745
"100","male",81.5041528506936
