"","age","pitch"
"1",39,233.415754511056
"2",13,260.38079848183
"3",42,239.676157392518
"4",50,247.733387892744
"5",60,221.90342215301
"6",78,211.144663943736
"7",32,242.041537411037
"8",26,246.53414256962
"9",65,208.374724463982
"10",73,209.207167957721
"11",64,198.27471429187
"12",60,209.742364352749
"13",17,264.595520771526
"14",42,235.588812493922
"15",63,220.3657247583
"16",28,264.637115224112
"17",55,223.50864853872
"18",58,221.407092049526
"19",36,237.029606972416
"20",43,238.876192506627
"21",49,223.973760229923
"22",52,214.289705560945
"23",8,245.581935589737
"24",21,252.756186957453
"25",50,216.686431926015
"26",74,208.305746949816
"27",48,218.745971161925
"28",25,253.81912064459
"29",54,230.38716918748
"30",50,231.830845848199
"31",67,192.298065429075
"32",51,206.31115075668
"33",48,228.64088111494
"34",9,266.887002207457
"35",38,243.535658903627
"36",29,252.256901213083
"37",49,211.919755185072
"38",31,262.537927959917
"39",58,215.307494423037
"40",15,255.647818969349
"41",29,230.745830549895
"42",64,205.905692135377
"43",88,209.066089212592
"44",43,215.521687564646
"45",25,256.198501342051
"46",45,246.133335407435
"47",54,218.489914683188
"48",75,210.23348808662
"49",60,213.945004320244
"50",24,220.758090637001
"51",20,259.269413561978
"52",17,255.632982682692
"53",29,263.713910404701
"54",32,241.219481601682
"55",27,251.017494552655
"56",31,243.421890403186
"57",33,257.395571561249
"58",7,260.158292340205
"59",47,232.863493370646
"60",61,242.894786771839
"61",48,222.822582948004
"62",31,256.709798115446
"63",28,243.228151455148
"64",20,256.468050933052
"65",75,207.571596946952
"66",33,244.421226172622
"67",54,217.308000321396
"68",55,219.20093903204
"69",52,235.439315800146
"70",51,247.797878000358
"71",70,219.428597479821
"72",68,208.870870128201
"73",24,239.620937694469
"74",44,242.415360689922
"75",27,245.82215956562
"76",66,205.542443223234
"77",72,217.997246177831
"78",25,247.898311354598
"79",31,238.29624145098
"80",27,251.77642958379
"81",34,242.128906889195
"82",28,251.38517691641
"83",49,226.449891227059
"84",40,242.554567572158
"85",10,245.384216553781
"86",49,230.110260141062
"87",39,221.225095051225
"88",41,234.250483821906
"89",33,241.563919501004
"90",16,249.217858068225
"91",25,224.067339968478
"92",49,221.659451611659
"93",60,227.116716374676
"94",41,232.261523845375
"95",23,248.797842218815
"96",35,239.616935994932
"97",71,200.75107801286
"98",54,217.552280020259
"99",37,234.866632081739
"100",37,247.930270569416
