x,y,z,,
-1.207065749,-1.20533342,1,,
0.277429242,0.30146674,2,,
1.084441177,-1.539145224,3,,
-2.345697703,0.635370723,4,,
0.429124689,0.702951775,5,,
0.506055892,-1.905882865,6,,
-0.57473996,0.93892145,7,,
-0.546631856,-0.224492105,8,,
-0.564451999,-0.673816775,9,,
-0.890037829,0.445787445,10,,
-0.4771927,1.280617107,11,,
-0.998386445,1.565130134,12,,
-0.776253895,-1.200546036,13,,
0.064458817,-0.437694966,14,,
0.959494059,0.146381482,15,,
-0.110285494,0.066019076,16,,
-0.511009506,-0.445036015,17,,
-0.911195417,-2.342112386,18,,
-0.83717168,-0.278382368,19,,
2.415835178,-1.181803632,20,,
0.13408822,0.033125273,1,,
-0.490685897,-0.837717012,2,,
-0.440547872,-0.11761108,3,,
0.459589441,-0.741522571,4,,
-0.693720247,-0.408346969,5,,
-1.44820491,-0.377770761,6,,
0.574755721,1.328366712,7,,
-1.023655723,0.716436307,8,,
-0.0151383,-0.232289188,9,,
-0.935948601,-1.2262269,10,,
1.102297546,1.047538091,11,,
-0.475593079,-1.436407187,12,,
-0.709440038,-1.182468928,13,,
-0.501258061,-0.776204836,14,,
-1.629093469,-0.972313509,15,,
-1.167619262,-0.903657561,16,,
-2.180039649,1.287203946,17,,
-1.340993192,-0.106187601,18,,
-0.294293859,-0.715870954,19,,
-0.46589754,0.671722196,20,,
1.449496265,0.197633626,1,,
-1.068642724,-1.220096725,2,,
-0.855364634,-0.56096512,3,,
-0.280623002,0.533732634,4,,
-0.994340076,1.950315465,5,,
-0.968514318,1.58194323,6,,
-1.107318193,0.837787522,7,,
-1.251985886,-0.013069663,8,,
-0.523828119,-1.725795962,9,,
-0.496849957,-0.730853574,10,,
-1.806031257,-0.215413865,11,,
-0.582075925,0.490206669,12,,
-1.108889624,0.059393424,13,,
-1.014962009,0.058312053,14,,
-0.162309524,1.838363107,15,,
0.563055819,0.387650899,16,,
1.647817473,-0.280550725,17,,
-0.773353424,-0.428517738,18,,
1.605909629,0.095324936,19,,
-1.157808548,-0.813331409,20,,
0.656588464,1.368190077,1,,
2.548991071,-0.28753603,2,,
-0.03476039,-0.528552423,3,,
-0.66963358,-0.873012923,4,,
-0.007604756,0.935893072,5,,
1.777084448,-1.277267323,6,,
-1.138607737,-0.468739839,7,,
1.367827179,0.312516273,8,,
1.329564791,-0.108322302,9,,
0.336472797,0.250790417,10,,
0.006892838,-1.316193394,11,,
-0.455468738,-0.430075449,12,,
-0.366523933,-1.704109698,13,,
0.648286568,-0.842137365,14,,
2.070270861,1.148250595,15,,
-0.153398412,0.252831536,16,,
-1.390700947,0.085287186,17,,
-0.723581777,-0.933626131,18,,
0.258261762,-0.556819606,19,,
-0.317059115,-1.016370319,20,,
-0.177789958,0.05352525,1,,
-0.169994077,0.765133606,2,,
-1.372301886,0.299194815,3,,
-0.17378717,-0.617615748,4,,
0.850232257,0.552787314,5,,
0.697608712,0.387908499,6,,
0.549997351,0.843210942,7,,
-0.402731975,-0.440627586,8,,
-0.19159377,-1.179365373,9,,
