"sex","foot_size","salary"
"Male",27.8135836720116,71446.1104664859
"Male",28.6354666056215,70531.0632991703
"Male",26.4728421742729,78147.7744877666
"Female",25.9251716449829,42969.1399590513
"Male",27.8516506602554,63267.8824557203
"Male",28.2185915029693,85821.8242217487
"Male",28.3706563551926,84875.0647331178
"Male",25.9710277606822,75807.3601316372
"Female",24.8345539971225,28003.0888184897
"Female",23.4057181009141,50125.8121580911
"Male",26.304695653118,63532.1470704853
"Female",25.481014271651,25065.5707104467
"Female",23.8105123906182,68258.5207298116
"Female",25.9669156828594,60430.4410299451
"Male",26.8431688156339,68960.6085872706
"Male",26.6471826398209,62921.3557551027
"Female",20.1405303561609,66667.3653476492
"Male",29.7172222374329,94693.190350133
"Female",23.9016375719268,72751.726356472
"Female",25.2437560531101,44327.7615427988
"Female",23.0868855558333,58070.4352525505
"Male",28.2661560484094,83579.4737316741
"Female",23.1324735103211,37905.6515861422
"Male",26.7490089157229,89652.9200967482
"Female",23.5611823804012,42721.6560281521
"Female",22.7329955376018,70504.123407208
"Male",28.230697133281,74803.973362742
"Female",24.452667129774,49401.560030878
"Male",27.0230379616502,50708.7331067958
"Male",27.2491107142493,76788.5012191463
"Female",25.7256268674691,51418.1538227672
"Male",28.3503473555878,49654.9022813546
"Female",25.5386692719435,56653.1377775019
"Male",26.971414784284,51636.0367037636
"Female",23.0159142035801,56827.863362768
"Male",25.6452890423936,94224.0469420836
"Female",24.4770642410508,43871.3667073825
"Male",27.8490893745636,83387.4580636134
"Female",25.1771462883635,63071.5345949092
"Female",23.964588922192,45173.960135627
"Female",24.1459159903862,74335.3021100491
"Male",27.9804233741546,61794.3593977754
"Male",26.8991986610164,59695.0572514211
"Male",28.7098614942793,36422.4164151126
"Female",24.4587671612444,55668.4819254746
"Male",25.8814499495832,71983.3396103708
"Female",23.1037181572548,54582.7770754072
"Male",26.2466610068809,102602.163625499
"Female",23.1569285547991,53140.1732246121
"Female",25.4215121528399,69298.1054959284
"Male",24.8437220960833,88976.8408706129
"Female",23.6104187454808,64079.9828583142
"Male",30.1513540900025,79266.9896358589
"Male",27.2468080134098,56453.1905897608
"Female",23.5130947087449,54222.6452314664
"Male",28.7710389269931,61075.940556832
"Female",26.3618807707132,58135.8039286354
"Female",24.456524643621,75819.3427047186
"Male",26.203187006843,54510.0394031071
"Female",22.2094771101842,56263.6638262319
"Male",29.0257542188759,74428.0512066712
"Male",28.4775627664528,64298.9513654876
"Female",21.9259297360952,49538.9547677654
"Male",28.1373280905886,43550.1550240685
"Female",26.1932492866995,67013.4768874813
"Female",25.6479605249132,74145.7884662385
"Male",27.3117825049341,65113.4963166254
"Male",25.4414992001454,86557.2213548964
"Male",26.5806435074905,66747.8715743113
"Female",25.8317064971345,55694.794094111
"Female",23.7121697458019,85087.158130576
"Male",26.3328776380514,83733.5217343234
"Female",25.3213144158093,57139.2485344463
"Female",23.146280158585,46602.4701646412
"Female",22.8083863689091,48317.3596077612
"Female",23.1768283173856,49236.1250923006
"Male",26.7182362862298,66936.1853513774
"Male",25.6491182210602,47234.5285810244
"Female",24.8897707387792,52591.9659013551
"Male",27.869682420007,76015.7214243213
"Female",23.4782142540181,57776.3290639726
"Male",28.5777912556847,74213.9266862206
"Male",27.1415534106598,55085.9883880929
"Female",21.9499847779336,44026.8104305013
"Male",26.4108941429278,82125.8092010595
"Male",28.7389256166321,61653.4728301639
"Male",27.5210592115897,60616.4090543933
"Female",23.8620997038008,69961.2024702947
"Male",29.0048036877742,79931.9610350935
"Female",23.6733528745621,12173.4569991327
"Female",24.2623165115193,42577.593481092
"Male",28.2107825927348,86703.3476195874
"Male",27.987841560355,95251.8138634678
"Male",29.3130361540863,43487.063744005
"Female",24.8566307766024,57717.2754958873
"Female",24.0182803563259,52487.315378464
"Male",26.8059865165232,65390.1666345533
"Male",25.4359419520307,73035.4458055259
