"","group","aggression"
"1","Prison",6.87904870689558
"2","Prison",7.53964502103344
"3","Prison",11.1174166282982
"4","Prison",8.14101678284915
"5","Prison",8.25857547032189
"6","Prison",11.4301299737666
"7","Prison",8.9218324119784
"8","Prison",5.46987753078693
"9","Prison",6.62629429621295
"10","Prison",7.10867605980008
"11","Prison",10.4481635948789
"12","Prison",8.71962765411473
"13","Prison",8.8015429011881
"14","Prison",8.22136543189024
"15","Prison",6.88831773049185
"16","Prison",11.5738262736062
"17","Prison",8.99570095645848
"18","Prison",4.06676568674072
"19","Prison",9.40271180312737
"20","Prison",7.05441718454413
"21","Prison",5.86435258802631
"22","Prison",7.56405017068341
"23","Prison",5.94799110338552
"24","Prison",6.54221754141772
"25","Prison",6.74992146430149
"26","Prison",4.62661337851517
"27","Prison",9.67557408898905
"28","Prison",8.30674623567303
"29","Prison",5.7237261259761
"30","Prison",10.5076298421399
"31","Prison",8.85292844295363
"32","Prison",7.40985703401546
"33","Prison",9.79025132209004
"34","Prison",9.75626697506608
"35","Prison",9.64316216327497
"36","Prison",9.37728050820018
"37","Prison",9.10783530707518
"38","Prison",7.87617657884656
"39","Prison",7.38807467252017
"40","Prison",7.23905799797523
"41","Prison",6.61058604215897
"42","Prison",7.5841654439608
"43","Prison",5.46920729686347
"44","Prison",12.337911930677
"45","Prison",10.41592399661
"46","Prison",5.7537828335933
"47","Prison",7.19423032940185
"48","Prison",7.06668929275356
"49","Prison",9.55993023667263
"50","Prison",7.83326186705634
"51","Prison",8.50663702798951
"52","Prison",7.94290648930259
"53","Prison",7.91425908541737
"54","Prison",10.7372045680289
"55","Prison",7.54845802868146
"56","Prison",11.0329412088591
"57","Prison",4.90249439153956
"58","Prison",9.16922749927214
"59","Prison",8.24770848768923
"60","Prison",8.43188313748795
"61","Prison",8.75927896551976
"62","Prison",6.9953530937814
"63","Prison",7.33358523266116
"64","Prison",5.96284923378582
"65","Prison",5.85641754704884
"66","Prison",8.60705728280852
"67","Prison",8.89641955725885
"68","Prison",8.10600845346101
"69","Prison",9.84453493575947
"70","Prison",12.1001693712543
"71","Prison",7.01793766788693
"72","Prison",3.38166224871838
"73","Prison",10.0114770489245
"74","Prison",6.58159847483521
"75","Prison",6.62398276706528
"76","Prison",10.0511427393934
"77","Prison",7.43045398589798
"78","Prison",5.55856457549093
"79","Prison",8.3626069594983
"80","Prison",7.72221727512191
"81","Prison",8.01152837179977
"82","Prison",8.77056080225266
"83","Prison",7.25867993641518
"84","Prison",9.28875309703767
"85","Prison",7.5590268763625
"86","Prison",8.66356392783139
"87","Prison",10.1936780262987
"88","Prison",8.87036298166761
"89","Prison",7.34813682893755
"90","Prison",10.2976152369022
"91","Prison",9.98700771192424
"92","Prison",9.09679391901614
"93","Prison",8.47746347022288
"94","Prison",6.74418784792126
"95","Prison",10.72130489706
"96","Prison",6.79948082570575
"97","Prison",12.3746659860332
"98","Prison",11.0652212523704
"99","Prison",7.52859928179905
"100","Prison",5.94715819938644
